type,iri,label,label_de,description,description_de,subclass of,subproperty of,domain,range,same as,equivalent class,equivalent property,note,instance of
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:hour,hour,Stunde,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q79,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:kilogram,kilogram,Kilogramm,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q80,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:square_kilometre,square kilometre,Quadratkilometer,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q81,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:kilometre,kilometre,Kilometer,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q82,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:litre,litre,Liter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q83,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:milligram,milligram,Milligramm,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q84,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:minute,minute,Minute,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q85,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:millilitre,millilitre,Milliliter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q86,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:millimetre,millimetre,Millimeter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q87,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:square_metre,square metre,Quadratmeter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q88,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:metre,metre,Meter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q89,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:second,second,Sekunde,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q90,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:byte,byte,Byte,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q91,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:wikidata_id,Wikidata id,Wikidata ID,identifier from Wikidata,Identifikator aus Wikidata,,,,,,,,"Wikibase ID: P104,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:formatter_uri,formatter uri for rdf resource,URI-Formatierer für RDF-Ressource,"URI template from which ""$1"" can be automatically replaced with the effective property value on items (it is the URI of the resources, not the URI of the RDF file describing it)","URI-ähnliche Zeichenkette, wie ""https://wikidata.org/wiki/$1/"", bei der ""$1"" automatisch ersetzt wird mit dem tatsächlichen Eigenschaftswert eines Datenobjekts (URI der Ressource, nicht der RDF-Datei)",,,,,,,,"Wikibase ID: P54,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_degree_of_certainty,degree of certainty,Grad der Sicherheit,"degree of certainty for a statement, can be low, mid, high or unknown","Grad der Sicherheit einer Aussage; kann niedrig, mittel, hoch oder unbekannt sein",,,,,,,,"Wikibase ID: P122,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#Class,wgm:degree_of_certainty,degree of certainty,Grad der Sicherheit,used in statements for expressing the degree of certainty,"wird für Aussagen verwendet, um den Grad der Sicherheit auszudrücken",https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object,,,,,,,Wikibase ID: Q92,
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:high,high,hoch,degree of certainty of a statement,Grad der Sicherheit einer Aussage,https://gitlab.com/nfdi4culture/wikibase4research/model/degree_of_certainty,,,,,,,Wikibase ID: Q93,
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:mid,mid,mittel,degree of certainty of a statement,Grad der Sicherheit einer Aussage,https://gitlab.com/nfdi4culture/wikibase4research/model/degree_of_certainty,,,,,,,Wikibase ID: Q94,
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:low,low,niedrig,degree of certainty of a statement,Grad der Sicherheit einer Aussage,https://gitlab.com/nfdi4culture/wikibase4research/model/degree_of_certainty,,,,,,,Wikibase ID: Q95,
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:unknown,unknown,unbekannt,degree of certainty of a statement,Grad der Sicherheit einer Aussage,https://gitlab.com/nfdi4culture/wikibase4research/model/degree_of_certainty,,,,,,,Wikibase ID: Q96,
http://www.w3.org/2002/07/owl#Class,wgm:attribute_assignment,attribute assignment,Merkmalszuweisung,event where an attribute was assigned,Ereignis bei dem ein Merkmal zugewiesen wurde,https://gitlab.com/nfdi4culture/wikibase4research/model/event,,,,,http://www.cidoc-crm.org/cidoc-crm/E13_Attribute_Assignment,,Wikibase ID: Q97,
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:was_born,birth,Geburt,points to birth event,verweist auf Geburtsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P98i_was_born,"Wikibase ID: P115,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:custody_transferred_by,custody transferred by,wechselte Besitz durch,points to change of custody event,verweist auf Besitztitelwechselereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P30i_custody_transferred_through,"Wikibase ID: P131,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:ownership_changed_by,ownership changed by,Eigentümerwechsel durch,points to change of ownership event,verweist auf Eigentumswechselereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P24i_changed_ownership_through,"Wikibase ID: P117,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:created_by,created by (event),hergestellt durch,points to creation event,verweist auf Herstellungsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by,"Wikibase ID: P132,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:died,death,Tod,points to death event,verweist auf Todesereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P100i_died_in,"Wikibase ID: P119,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:destroyed_by,destroyed by,zerstört durch,points to destruction event,verweist auf Zerstörungsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P13i_was_destroyed_by,"Wikibase ID: P120,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:modified_by,modified by,wurde verändert durch,points to modifcation event,verweist auf Modifikationsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P31i_was_modified_by,"Wikibase ID: P133,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:moved_by,moved by,Ortswechsel durch,points to move event,Verweist auf Ortswechselereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P25i_moved_by,"Wikibase ID: P134,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:attribute_assigned_by,attribute assigned by,Merkmal zugewiesen durch,points to attribute assignment event,verweist auf Merkmalszuweisungsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P140i_was_attributed_by,"Wikibase ID: P123,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:added_by,added by,hinzugefügt durch,points to part addition event,verweist auf Teilhinzufügungsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P111i_was_added_by,"Wikibase ID: P135,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:removed_by,removed by,entfernt durch,points to part removal event,verweist auf Teilentfernungsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P113i_was_removed_by,"Wikibase ID: P136,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:transformed_by,transformed by,wurde umgewandelt durch,points to transformation event,verweist auf ein Umwandlungsereignis,,,,,,,http://www.cidoc-crm.org/cidoc-crm/P124i_was_transformed_by,"Wikibase ID: P128,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:diameter,diameter,Durchmesser,diameter of an item,Durchmesser eines Objekts,,https://gitlab.com/nfdi4culture/wikibase4research/model/has_dimension,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#float,,,https://www.wikidata.org/entity/P2386,"Wikibase ID: P105,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:event_description,event description,Beschreibung des Ereignisses,free text description field for events,Freitextfeld zur Beschreibung von Ereignissen,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#string,,,,"Wikibase ID: P106,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:alive_during,alive during,lebt zur Zeit,point in time or interval when someone is or was alive,"Zeitpunkt oder Zeitrahmen, in dem eine Person am Leben ist oder war",,,https://gitlab.com/nfdi4culture/wikibase4research/model/human,http://www.w3.org/2001/XMLSchema#date,,,,"Wikibase ID: P108,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:factgrid_id,Factgrid id,Factgrid ID,identifier from Factgrid,Identifikator aus Factgrid,,,,,,,,"Wikibase ID: P109,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_mime_type,MIME type,MIME Typ,standard indicating the format of a file,Standard der das Format einer Datei angibt,,,https://gitlab.com/nfdi4culture/wikibase4research/model/media_item,,,,,"Wikibase ID: P112,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:bamberg_vocab_id,Bamberg Vocab ID,Bamberg Vocab ID,identifier from Bamberg's Vocabulary for Historical Architecture,Identifikator aus dem Bamberger Vokabular für historische Architektur,,,,,,,,"Wikibase ID: P114,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:external_image,external image URL,externer Link zu Bild,URL that points to a visual representation of this item,URL zu visueller Repräsentation des Objekts,,,https://gitlab.com/nfdi4culture/wikibase4research/model/human_made_object,http://www.w3.org/2001/XMLSchema#string,,,,"Wikibase ID: P116,Wikibase datatype: url",
